index,category,HHSIZE,INCOME,ROOMS
Adjustedtotalexpenditures,N,29981.0,27002.0,29693.0
Adjustedtotalexpenditures,P_value,-0.0,0.0,0.0
Adjustedtotalexpenditures,R_adj_square,0.121,0.266,0.10938172440632554
Alcoholicbeverages,N,14312.0,13006.0,14193.0
Alcoholicbeverages,P_value,0.849,0.0,0.0
Alcoholicbeverages,R_adj_square,-0.0,0.045,0.006891655362844196
Apparelandservices,N,17877.0,16458.0,17738.0
Apparelandservices,P_value,-0.0,0.0,0.0
Apparelandservices,R_adj_square,0.075,0.074,0.047278491953936075
Babysittingandchilddaycare,N,1815.0,1717.0,1814.0
Babysittingandchilddaycare,P_value,0.518,0.0,0.0
Babysittingandchilddaycare,R_adj_square,-0.0,0.049,0.009625229497150944
Carsandtrucksnewnetoutlay,N,308.0,286.0,308.0
Carsandtrucksnewnetoutlay,P_value,0.019,0.029,0.001
Carsandtrucksnewnetoutlay,R_adj_square,0.015,0.013,0.033059115731499444
Carsandtrucksusednetoutlay,N,796.0,751.0,791.0
Carsandtrucksusednetoutlay,P_value,0.65,0.0,0.0
Carsandtrucksusednetoutlay,R_adj_square,-0.001,0.048,0.017656369367080704
Cashcontributions,N,13360.0,12528.0,13295.0
Cashcontributions,P_value,-0.0,0.0,0.0
Cashcontributions,R_adj_square,0.007,0.06,0.049087977365156354
Domesticservices,N,7862.0,7331.0,7840.0
Domesticservices,P_value,-0.0,0.0,0.0
Domesticservices,R_adj_square,0.075,0.088,0.1169853850047673
Domesticservicesexcludingchildcare,N,6589.0,6126.0,6567.0
Domesticservicesexcludingchildcare,P_value,-0.0,0.0,0.0
Domesticservicesexcludingchildcare,R_adj_square,0.009,0.077,0.1709136448540356
Education,N,2877.0,2649.0,2820.0
Education,P_value,0.001,0.0,0.0
Education,R_adj_square,0.004,0.036,0.012965910460460583
Entertainment,N,25755.0,23511.0,25611.0
Entertainment,P_value,-0.0,0.0,0.0
Entertainment,R_adj_square,0.031,0.087,0.057875607182951816
Feesandadmissions,N,10209.0,9495.0,10150.0
Feesandadmissions,P_value,-0.0,0.0,0.0
Feesandadmissions,R_adj_square,0.036,0.071,0.04490574668699321
Floorcoverings,N,873.0,825.0,870.0
Floorcoverings,P_value,0.011,0.0,0.0
Floorcoverings,R_adj_square,0.006,0.025,0.0451450456623218
Foodathome,N,29639.0,26726.0,29387.0
Foodathome,P_value,-0.0,0.0,0.0
Foodathome,R_adj_square,0.202,0.074,0.06067414561203843
Foodawayfromhome,N,24203.0,21830.0,23988.0
Foodawayfromhome,P_value,-0.0,0.0,0.0
Foodawayfromhome,R_adj_square,0.034,0.092,0.028059148914422072
Furniture,N,2555.0,2412.0,2553.0
Furniture,P_value,0.018,0.0,0.0
Furniture,R_adj_square,0.002,0.032,0.013213816509681342
Healthcare,N,23262.0,21410.0,23165.0
Healthcare,P_value,-0.0,0.0,0.0
Healthcare,R_adj_square,0.025,0.046,0.0610981739753218
Healthinsurance,N,20866.0,19233.0,20786.0
Healthinsurance,P_value,-0.0,0.0,0.0
Healthinsurance,R_adj_square,0.038,0.026,0.04435193481943234
Housefurnishingsandequipment,N,12032.0,11216.0,11963.0
Housefurnishingsandequipment,P_value,-0.0,0.0,0.0
Housefurnishingsandequipment,R_adj_square,0.019,0.033,0.02682824638093184
Householdoperations,N,21597.0,19777.0,21519.0
Householdoperations,P_value,-0.0,0.0,0.0
Householdoperations,R_adj_square,0.029,0.064,0.04934133638286331
Householdtextiles,N,3067.0,2871.0,3053.0
Householdtextiles,P_value,-0.0,0.0,0.0
Householdtextiles,R_adj_square,0.01,0.046,0.027887728229618602
Housing,N,29868.0,26926.0,29624.0
Housing,P_value,-0.0,0.0,0.0
Housing,R_adj_square,0.079,0.154,0.05137700486346186
Localpublictransportationexcludingontrips,N,3575.0,3276.0,3540.0
Localpublictransportationexcludingontrips,P_value,-0.0,0.0,0.732
Localpublictransportationexcludingontrips,R_adj_square,0.031,0.022,-0.0002495228850043496
Maintenanceandrepairs,N,11844.0,11090.0,11796.0
Maintenanceandrepairs,P_value,-0.0,0.0,0.0
Maintenanceandrepairs,R_adj_square,0.003,0.009,0.0031231019083385325
Majorappliances,N,2022.0,1863.0,2009.0
Majorappliances,P_value,0.002,0.0,0.0
Majorappliances,R_adj_square,0.004,0.023,0.0753304846492816
Medicalservices,N,8781.0,8210.0,8755.0
Medicalservices,P_value,-0.0,0.0,0.0
Medicalservices,R_adj_square,0.009,0.021,0.02412169622291016
Medicalsupplies,N,1835.0,1711.0,1825.0
Medicalsupplies,P_value,0.841,0.0,0.003
Medicalsupplies,R_adj_square,-0.001,0.007,0.004191735458057622
Miscellaneousexpenditures,N,8506.0,8047.0,8471.0
Miscellaneousexpenditures,P_value,-0.0,0.0,0.0
Miscellaneousexpenditures,R_adj_square,0.004,0.024,0.013067750298173975
Miscellaneoushouseholdequipment,N,7719.0,7249.0,7673.0
Miscellaneoushouseholdequipment,P_value,-0.0,0.0,0.0
Miscellaneoushouseholdequipment,R_adj_square,0.016,0.029,0.018795581271182416
Otherentertainment,N,3989.0,3758.0,3973.0
Otherentertainment,P_value,-0.0,0.0,0.0
Otherentertainment,R_adj_square,0.007,0.027,0.01913802099227435
Otherequipmentandservices,N,10762.0,10043.0,10709.0
Otherequipmentandservices,P_value,-0.0,0.0,0.0
Otherequipmentandservices,R_adj_square,0.01,0.044,0.03112149978095302
Otherhouseholdexpenses,N,20029.0,18351.0,19963.0
Otherhouseholdexpenses,P_value,-0.0,0.0,0.0
Otherhouseholdexpenses,R_adj_square,0.008,0.02,0.009062652466164778
Otherlodging,N,4246.0,3968.0,4224.0
Otherlodging,P_value,0.001,0.0,0.0
Otherlodging,R_adj_square,0.002,0.038,0.010033818672192552
Othervehicles,N,42.0,42.0,42.0
Othervehicles,P_value,0.468,0.33,0.242
Othervehicles,R_adj_square,-0.011,-0.001,0.00988819797891105
Personalcare,N,17625.0,16364.0,17542.0
Personalcare,P_value,-0.0,0.0,0.0
Personalcare,R_adj_square,0.035,0.063,0.03216412768991106
Personalinsuranceandpensions,N,23754.0,21444.0,23546.0
Personalinsuranceandpensions,P_value,-0.0,0.0,0.0
Personalinsuranceandpensions,R_adj_square,0.056,0.432,0.0801029188067881
Petstoysandplaygroundequipment,N,8791.0,8204.0,8751.0
Petstoysandplaygroundequipment,P_value,-0.0,0.0,0.0
Petstoysandplaygroundequipment,R_adj_square,0.004,0.037,0.027432441624601678
Prescriptiondrugs,N,9146.0,8574.0,9116.0
Prescriptiondrugs,P_value,-0.0,0.0,0.0
Prescriptiondrugs,R_adj_square,0.003,0.006,0.017040651765660497
Publicandothertransportation,N,5691.0,5265.0,5648.0
Publicandothertransportation,P_value,-0.0,0.0,0.0
Publicandothertransportation,R_adj_square,0.019,0.068,0.034454260611883725
Publicandothertransportationontrips,N,2651.0,2498.0,2642.0
Publicandothertransportationontrips,P_value,-0.0,0.0,0.0
Publicandothertransportationontrips,R_adj_square,0.018,0.028,0.015972165271109673
Reading,N,5299.0,5002.0,5279.0
Reading,P_value,-0.0,0.0,0.0
Reading,R_adj_square,0.006,0.019,0.014786720788056318
