,HHSIZE,INCOME,ROOMS
Totalexpenditures,0.5398716709195938,0.3559396522265143,0.7003802912680087
Totalfood,0.5756030223997491,0.23675493598286665,0.5315611906787095
Foodathome,0.6260074739535428,0.17150244582963406,0.47811572870703567
Foodawayfromhome,0.3380674312824251,0.2578710169641421,0.43120173692711306
Alcoholicbeverages,-0.0036581876000563313,0.22568010846471434,0.25760092501758297
Housing,0.4430367031740957,0.27599323156797906,0.4905452342015855
Shelter,0.35065945962602857,0.28829872468436074,0.19466625881574687
Otherlodging,0.12531176084422127,0.21434386473050301,0.35710527452864327
Telephoneservices,0.46982250255840896,0.210636386782579,0.5035945348235734
Waterandotherpublicservices,0.3152186938687439,0.0831536984224866,0.4355431118716655
Householdoperations,0.35356483311012427,0.24273399861981865,0.6562620168324417
Domesticservices,0.8274581039884255,0.3980577916703383,1.4241303017618865
Domesticservicesexcludingchildcare,0.27187548604421,0.32634822429700117,1.5347955267520188
Babysittingandchilddaycare,-0.05041837797398567,0.24825505721257965,0.32630927020068345
Otherhouseholdexpenses,0.12770464406312218,0.09524994363794236,0.19968500885842502
Housefurnishingsandequipment,0.3775467016933076,0.23269492257856153,0.6216783392409642
Householdtextiles,0.18754169668963924,0.1952074562897918,0.4190202002873265
Furniture,0.12481347835876405,0.23049413623453893,0.43063095114309075
Floorcoverings,0.2692782075160633,0.2378030063602876,0.9381860527623516
Majorappliances,0.1623300179979911,0.16572153055488792,0.9644127973184166
Smallappliancesmiscellaneoushousewares,0.17173040607836854,0.15947799277365426,0.43779465569951426
Miscellaneoushouseholdequipment,0.31839792507771814,0.19933059976988923,0.4704884815560609
Apparelandservices,0.646508775006993,0.30078847684551496,0.6792283494089676
Transportation,0.6555559610907075,0.35670543277654354,0.7458956744180674
Carsandtrucksnewnetoutlay,0.1282770718595565,0.05419494722457118,0.2590146843519727
Carsandtrucksusednetoutlay,0.04133939946167843,0.27928752449839367,0.49405997921274314
Othervehicles,0.28532777308218327,0.23460381137735611,-0.6242446920656655
Vehiclefinancecharges,0.1771789740932783,0.09836448513991036,0.17036812279410754
Maintenanceandrepairs,0.1694790657413488,0.13887578051338284,0.25002891583179687
Vehicleinsurance,0.23653839818227435,0.1505965313521137,0.40959461599171826
Vehiclerentalleaseslicensesandothercharges,0.22854003884671614,0.20027545011428988,0.2723495756105241
Publicandothertransportation,0.40056638063986866,0.33079249449986264,0.625208493232447
Publicandothertransportationontrips,0.3753528667234412,0.22077852569483294,0.4491210720519901
Localpublictransportationexcludingontrips,0.39796733517096666,0.14636969536258077,-0.014933508242715776
Healthcare,0.35866023312803824,0.21775267733235062,0.7712029898309147
Healthinsurance,0.3704161337868521,0.1371361119667327,0.5528829848339868
Medicalservices,0.2659808677448928,0.18754265060460462,0.5977485944154247
Prescriptiondrugs,0.13059771046752547,0.07804501862474049,0.4201552571136397
Medicalsupplies,-0.009671168980934078,0.08431304200568804,0.20207009745682672
Entertainment,0.36068737011568225,0.2748988613306866,0.7060269412214774
Feesandadmissions,0.45028386782806273,0.30551589579800936,0.6833324204945941
Televisionsradiosandsoundequipment,0.17759153201738623,0.09549627912777031,0.3707302369367861
Otherequipmentandservices,0.24485196605878798,0.2392484721091196,0.6211095091497357
Petstoysandplaygroundequipment,0.13944009889540723,0.19562204526232918,0.5313562361388993
Otherentertainment,0.22832495240195977,0.22115315451265477,0.5404325722674488
Personalcare,0.37090030043054745,0.23056746108558468,0.48809847527022343
Reading,0.16679044818990316,0.13452451757139822,0.3542831667496407
Education,-0.19893963884074048,0.26364602173993995,0.48666492913793913
Tobaccoandsmokingsupplies,0.1890414471277024,0.09680622183940829,0.25613646152926417
Miscellaneousexpenditures,0.18443173952862735,0.2065815926458303,0.45406419578418095
Cashcontributions,0.23042852408659176,0.3081374100049698,0.8695674971958104
Personalinsuranceandpensions,0.5554419112394986,0.7557881221811179,0.9353368555776599
Adjustedtotalexpenditures,0.5398716709195938,0.3559396522265143,0.7003802912680087
