index,N,adj_r2,parameter,HHSIZE,INCOME,ROOMS,DETTACHED,OWN,DEGREE,VEH
AdjustedTotalExpenditures,23209,0.308,Beta,0.212,0.219,0.257,0.01,-0.037,0.278,0.198
AdjustedTotalExpenditures, , ,SE,0.009,0.004,0.015,0.009,0.012,0.01,0.009
AdjustedTotalExpenditures,  ,  ,Confidence Level,0.0,0.0,0.0,0.267,0.001,0.0,0.0
AlcoholicBeverages,11692,0.056,Beta,-0.224,0.203,0.153,0.01,-0.019,0.176,0.148
AlcoholicBeverages, , ,SE,0.024,0.011,0.037,0.023,0.03,0.024,0.023
AlcoholicBeverages,  ,  ,Confidence Level,0.0,0.0,0.0,0.673,0.521,0.0,0.0
ApparelAndServices,14149,0.097,Beta,0.439,0.18,0.232,-0.005,-0.039,0.143,0.022
ApparelAndServices, , ,SE,0.021,0.01,0.035,0.022,0.028,0.023,0.022
ApparelAndServices,  ,  ,Confidence Level,0.0,0.0,0.0,0.811,0.16,0.0,0.31
BabysittingAndChildDayCare,1589,0.051,Beta,-0.253,0.195,0.016,-0.042,0.101,0.231,-0.082
BabysittingAndChildDayCare, , ,SE,0.088,0.031,0.097,0.06,0.075,0.066,0.067
BabysittingAndChildDayCare,  ,  ,Confidence Level,0.004,0.0,0.87,0.485,0.18,0.0,0.222
CarsAndTrucksNewNetOutlay,285,0.045,Beta,0.026,0.04,0.189,0.088,0.038,-0.103,-0.001
CarsAndTrucksNewNetOutlay, , ,SE,0.061,0.026,0.097,0.057,0.085,0.059,0.058
CarsAndTrucksNewNetOutlay,  ,  ,Confidence Level,0.676,0.115,0.052,0.125,0.654,0.08,0.99
CarsAndTrucksUsedNetOutlay,746,0.064,Beta,-0.089,0.254,0.286,0.036,0.155,0.2,-0.154
CarsAndTrucksUsedNetOutlay, , ,SE,0.097,0.052,0.149,0.098,0.119,0.104,0.101
CarsAndTrucksUsedNetOutlay,  ,  ,Confidence Level,0.363,0.0,0.055,0.714,0.192,0.054,0.128
CashContributions,11330,0.077,Beta,-0.164,0.195,0.557,0.016,0.117,0.263,0.144
CashContributions, , ,SE,0.028,0.013,0.047,0.028,0.038,0.029,0.028
CashContributions,  ,  ,Confidence Level,0.0,0.0,0.0,0.561,0.002,0.0,0.0
DomesticServices,6525,0.147,Beta,0.513,0.185,0.9,0.03,0.044,0.312,-0.174
DomesticServices, , ,SE,0.038,0.017,0.062,0.038,0.053,0.04,0.039
DomesticServices,  ,  ,Confidence Level,0.0,0.0,0.0,0.437,0.41,0.0,0.0
DomesticServicesExclChildcare,5409,0.187,Beta,-0.178,0.157,1.272,0.052,0.413,0.183,-0.064
DomesticServicesExclChildcare, , ,SE,0.038,0.016,0.061,0.037,0.055,0.039,0.038
DomesticServicesExclChildcare,  ,  ,Confidence Level,0.0,0.0,0.0,0.16,0.0,0.0,0.087
Education,2370,0.088,Beta,-0.482,0.226,0.328,0.072,0.139,0.408,0.328
Education, , ,SE,0.072,0.033,0.11,0.07,0.089,0.074,0.069
Education,  ,  ,Confidence Level,0.0,0.0,0.003,0.299,0.119,0.0,0.0
Entertainment,20818,0.117,Beta,0.104,0.167,0.33,0.032,0.111,0.266,0.145
Entertainment, , ,SE,0.015,0.007,0.025,0.015,0.019,0.016,0.015
Entertainment,  ,  ,Confidence Level,0.0,0.0,0.0,0.035,0.0,0.0,0.0
FeesAndAdmissions,8740,0.115,Beta,0.265,0.172,0.251,0.013,0.217,0.43,0.003
FeesAndAdmissions, , ,SE,0.028,0.013,0.044,0.027,0.036,0.028,0.027
FeesAndAdmissions,  ,  ,Confidence Level,0.0,0.0,0.0,0.624,0.0,0.0,0.915
FloorCoverings,756,0.076,Beta,0.028,0.07,0.324,0.051,0.905,0.058,0.121
FloorCoverings, , ,SE,0.124,0.061,0.202,0.125,0.169,0.127,0.119
FloorCoverings,  ,  ,Confidence Level,0.82,0.257,0.11,0.685,0.0,0.647,0.311
FoodAtHome,23082,0.213,Beta,0.533,0.07,0.108,-0.001,0.062,0.085,0.022
FoodAtHome, , ,SE,0.009,0.004,0.015,0.009,0.012,0.01,0.009
FoodAtHome,  ,  ,Confidence Level,0.0,0.0,0.0,0.92,0.0,0.0,0.021
FoodAwayFromHome,19474,0.107,Beta,0.171,0.179,0.145,0.006,0.019,0.23,0.08
FoodAwayFromHome, , ,SE,0.014,0.007,0.023,0.014,0.018,0.015,0.014
FoodAwayFromHome,  ,  ,Confidence Level,0.0,0.0,0.0,0.682,0.282,0.0,0.0
Furniture,2181,0.037,Beta,-0.032,0.184,0.086,-0.035,0.33,-0.023,0.002
Furniture, , ,SE,0.065,0.032,0.108,0.065,0.084,0.068,0.065
Furniture,  ,  ,Confidence Level,0.622,0.0,0.428,0.593,0.0,0.732,0.978
HealthInsurance,17368,0.065,Beta,0.232,0.043,0.216,0.025,0.235,0.061,0.069
HealthInsurance, , ,SE,0.016,0.007,0.025,0.015,0.02,0.016,0.015
HealthInsurance,  ,  ,Confidence Level,0.0,0.0,0.0,0.103,0.0,0.0,0.0
Healthcare,19151,0.083,Beta,0.102,0.089,0.303,0.012,0.358,0.125,0.147
Healthcare, , ,SE,0.018,0.008,0.028,0.017,0.022,0.018,0.017
Healthcare,  ,  ,Confidence Level,0.0,0.0,0.0,0.485,0.0,0.0,0.0
HouseFurnishingsAndEquipment,10099,0.044,Beta,0.176,0.124,0.166,0.081,0.23,0.085,0.114
HouseFurnishingsAndEquipment, , ,SE,0.03,0.014,0.05,0.03,0.039,0.031,0.03
HouseFurnishingsAndEquipment,  ,  ,Confidence Level,0.0,0.0,0.001,0.007,0.0,0.007,0.0
HouseholdOperations,17849,0.092,Beta,0.209,0.148,0.342,0.003,0.086,0.273,-0.078
HouseholdOperations, , ,SE,0.016,0.008,0.027,0.016,0.021,0.017,0.016
HouseholdOperations,  ,  ,Confidence Level,0.0,0.0,0.0,0.869,0.0,0.0,0.0
HouseholdTextiles,2557,0.049,Beta,0.004,0.145,0.215,0.016,0.073,0.098,0.016
HouseholdTextiles, , ,SE,0.042,0.021,0.068,0.041,0.053,0.043,0.04
HouseholdTextiles,  ,  ,Confidence Level,0.929,0.0,0.002,0.705,0.169,0.024,0.69
Housing,23195,0.203,Beta,0.244,0.184,0.32,0.003,-0.215,0.292,0.012
Housing, , ,SE,0.01,0.005,0.017,0.01,0.013,0.011,0.01
Housing,  ,  ,Confidence Level,0.0,0.0,0.0,0.746,0.0,0.0,0.247
LocalPublicTransportationExclOnTrips,2005,0.091,Beta,0.601,0.209,-0.104,-0.006,0.073,-0.011,-0.444
LocalPublicTransportationExclOnTrips, , ,SE,0.06,0.028,0.089,0.06,0.075,0.069,0.062
LocalPublicTransportationExclOnTrips,  ,  ,Confidence Level,0.0,0.0,0.242,0.926,0.33,0.875,0.0
MaintenanceAndRepairs,10723,0.016,Beta,0.05,0.084,-0.007,-0.023,0.023,0.186,0.193
MaintenanceAndRepairs, , ,SE,0.032,0.015,0.053,0.032,0.041,0.034,0.032
MaintenanceAndRepairs,  ,  ,Confidence Level,0.12,0.0,0.888,0.477,0.575,0.0,0.0
MajorAppliances,1676,0.113,Beta,0.026,0.011,0.491,0.045,0.744,0.074,-0.03
MajorAppliances, , ,SE,0.06,0.029,0.106,0.061,0.078,0.064,0.06
MajorAppliances,  ,  ,Confidence Level,0.665,0.709,0.0,0.463,0.0,0.243,0.622
MedicalServices,7570,0.031,Beta,0.061,0.094,0.334,-0.045,0.123,0.138,0.098
MedicalServices, , ,SE,0.036,0.017,0.057,0.034,0.047,0.035,0.034
MedicalServices,  ,  ,Confidence Level,0.087,0.0,0.0,0.194,0.009,0.0,0.004
MedicalSupplies,1562,0.015,Beta,-0.077,0.057,0.041,-0.095,0.248,0.113,-0.069
MedicalSupplies, , ,SE,0.061,0.029,0.101,0.06,0.081,0.061,0.057
